Away,hRushYdsScored,hPassYdsScored,hPuntAvgScored,hPenAvgScored,hSackAvgScored,hRushYdsAllowed,hPassYdsAllowed,hPuntAvgAllowed,hPenAvgAllowed,hSackAvgAllowed,hTurnoverDiff,aRushYdsScored,aPassYdsScored,aPuntAvgScored,aPenAvgScored,aSackAvgScored,aRushYdsAllowed,aPassYdsAllowed,aPuntAvgAllowed,aPenAvgAllowed,aSackAvgAllowed,aTurnoverDiff
NE,107.78123067408782,216.65831787260362,42.343259121830556,8.066824775124095,1.766326530612245,125.08367346938778,266.8073283858998,43.537641723356,8.118003277987045,2.78236446093589,-0.43458049886621314,95.54256854256855,291.7985209235209,42.14357864357864,8.633360819075104,3.4715007215007216,69.47258297258297,176.86507936507937,37.97023809523809,9.06450038057181,1.4888167388167386,1.5344516594516595
NO,111.72373737373738,237.1127946127946,38.36262626262626,8.224888635027524,2.644949494949495,98.63114478114478,257.22542087542087,40.580808080808076,9.195447352871595,2.7659932659932664,0.251010101010101,112.50353535353536,273.65909090909093,42.528956228956226,7.650266858095141,3.6823232323232324,119.67609427609428,239.11195286195286,37.78114478114478,8.145376382876384,1.6404040404040403,0.28417508417508414
NYG,91.76333333333335,215.58333333333334,40.27666666666667,8.252472222222222,2.478333333333333,94.10333333333332,235.29333333333335,41.61666666666667,8.697529461279462,2.825,0.21833333333333327,111.57650793650794,240.89333333333335,42.380634920634925,8.536950491307636,2.303174603174603,126.40349206349208,275.9911111111111,38.861587301587306,7.693626102292768,2.5136507936507937,-1.347936507936508
NYJ,101.10708273208273,228.06673881673882,43.9808201058201,8.448626476404256,2.1134559884559887,113.14069264069263,251.86646224146227,39.31944444444444,8.533025697780388,2.643157768157768,-0.26118326118326113,69.62265512265512,155.5710678210678,41.90776815776815,9.046962014323125,1.7656325156325157,89.11171236171238,264.69708994709,37.41029341029341,8.899507642563199,4.279220779220779,0.04990379990379987
OAK,123.51774891774892,224.5585137085137,40.79559884559884,8.776848088179257,2.7507215007215007,108.91277056277056,246.11240981240985,39.8981240981241,8.497394008108294,2.1974025974025975,0.22575757575757574,123.61010101010102,226.64848484848483,39.26666666666667,8.74339564475928,2.0828282828282827,94.02878787878787,285.2141414141414,42.06666666666667,8.734351851851853,1.6202020202020202,-0.2626262626262626
PHI,111.09696969696971,232.06565656565658,38.13686868686869,8.57592893217893,2.2954545454545454,120.7580808080808,198.43232323232323,41.23787878787879,9.088898909732244,2.7580808080808077,-0.4898989898989899,113.08823953823953,248.20411255411253,44.940187590187584,8.620281328019422,1.9744588744588745,67.37698412698413,286.22200577200584,41.4023088023088,7.601524370691038,1.8337662337662337,-0.14004329004329005
PIT,118.19722222222222,242.61388888888888,39.477777777777774,8.397017349934016,2.5222222222222226,123.67222222222222,231.67777777777778,37.916666666666664,8.421175444925446,2.2444444444444445,-0.3472222222222222,71.85555555555555,212.48888888888888,41.33611111111111,10.13402432444099,3.341666666666667,115.33333333333333,249.94722222222222,41.49444444444444,9.511629689754688,1.1805555555555556,0.8361111111111111
SEA,98.49781746031748,246.78194444444443,41.49861111111111,8.3789462439016,2.2496031746031746,118.23154761904762,251.39305555555552,41.25515873015873,8.16335702547012,2.7079365079365076,-0.4071428571428572,116.13333333333333,248.20079365079366,40.42142857142857,8.029532942806751,2.0584656084656086,82.2388888888889,285.86296296296297,42.198412698412696,8.882678495079288,2.8066137566137566,0.8137566137566137
SF,107.74909090909091,273.30045454545456,40.72409090909091,7.855854221115585,2.7112121212121214,106.13045454545454,233.24,41.834545454545456,7.929899536490446,2.6366666666666667,-0.40621212121212125,160.91584415584416,211.24584415584414,43.45883116883117,9.092234553325461,3.501428571428572,99.35103896103897,153.11467532467532,35.91818181818182,8.837218357039784,1.3542857142857143,0.8533766233766233
TB,111.27705627705629,239.61637291280144,40.27891156462585,8.288876103668544,2.148299319727891,117.02008348794062,234.96379097093384,37.86708410636982,8.472969435609743,2.679730983302412,-0.12193877551020409,106.63453927025355,257.3504019789734,34.18970315398887,8.49311988936989,2.2782622139764994,74.73076685219543,272.6308905380334,44.80470006184292,8.966739465440764,3.481818181818182,-0.6009585652442795
TEN,111.73731601731602,237.95264069264067,40.66467532467532,8.16229292929293,2.1632034632034634,115.60857142857142,224.2352380952381,41.634805194805196,8.815603436967073,2.4141125541125543,-0.6487445887445886,114.56696969696968,193.09606060606058,42.808484848484845,11.23074987974988,2.8589393939393943,111.72363636363636,218.865606060606,42.555454545454545,8.436745758450304,4.445151515151516,1.2543939393939394
WAS,117.01147186147185,226.35995670995672,41.47835497835498,8.444190888476601,2.462121212121212,126.12662337662339,260.10108225108223,39.55281385281385,8.505798117226687,2.971861471861472,-0.6547619047619049,74.43467532467533,205.56400432900432,45.85166666666667,7.817483680340823,2.152748917748918,139.162987012987,246.49106060606064,42.57487012987013,8.54852448807806,2.5888961038961034,-0.49214285714285716
