Away,aRushYdsScored,aPassYdsScored,aPuntAvgScored,aPenAvgScored,aSackAvgScored,aRushYdsAllowed,aPassYdsAllowed,aPuntAvgAllowed,aPenAvgAllowed,aSackAvgAllowed,aTurnoverDiff
ARI,115.10846560846562,242.2628306878307,43.11018518518518,6.806941533628041,2.746957671957672,129.56084656084656,290.60317460317464,40.38875661375662,8.451985911648611,3.8513227513227513,0.26706349206349206
ATL,69.62555555555556,306.8677777777778,36.00555555555555,7.703243386243386,1.3138888888888889,114.035,232.31055555555554,43.17444444444445,9.548175224466892,2.493888888888889,-1.2916666666666665
BAL,208.445,257.6083333333333,43.91666666666667,7.837193181818182,2.1766666666666667,74.39333333333335,265.96999999999997,42.43333333333333,7.479598364598364,2.163333333333333,0.52
BUF,133.6280303030303,222.94520202020203,33.81515151515151,8.050783584401008,2.738888888888889,96.75883838383838,181.8128787878788,41.5800505050505,8.075371272246272,2.1974747474747476,-0.7472222222222222
CAR,121.32916666666667,233.03472222222217,41.37777777777778,9.153217592592593,3.775,129.52916666666667,205.82222222222222,38.981944444444444,7.9090487213403895,2.9638888888888886,-0.06944444444444442
CHI,79.66564454064454,187.65494227994225,42.355699855699854,8.72043937103461,3.4342833092833094,75.63636363636364,216.9954906204906,40.79040404040404,7.762547145682066,3.00474987974988,0.25577200577200576
CIN,51.16857142857143,281.51746031746035,41.000317460317454,7.761814058956917,1.4526984126984128,172.75333333333333,243.23365079365075,38.60285714285714,8.031872752467992,3.55047619047619,-1.168253968253968
CLE,112.5739538239538,238.62896825396828,41.00090187590187,9.02366031235079,3.372294372294372,127.67261904761904,216.71194083694084,41.640151515151516,7.681412337662338,3.2979797979797976,-0.9402958152958153
DAL,137.48703703703703,320.5187830687831,39.69920634920636,9.426885989524878,2.1084656084656084,107.9835978835979,241.67962962962963,43.4978835978836,8.43252632141521,0.9529100529100529,0.2388888888888889
DEN,105.5120634920635,225.6525396825397,39.30238095238095,8.229404761904764,1.5236507936507937,118.01825396825397,199.43936507936505,43.74428571428571,8.277115898211138,3.0423809523809524,-0.5423809523809524
DET,103.41142857142859,285.83285714285716,41.026428571428575,7.559865233972376,2.1714285714285717,127.98285714285717,285.6878571428571,45.2,7.400409297052154,2.017142857142857,0.13071428571428573
GB,98.54305194805194,257.9199350649351,42.778246753246755,7.5008990414347565,2.623376623376623,129.46051948051948,240.9385714285714,43.57597402597403,10.233816361668634,2.098766233766234,0.8718831168831169
HOU,139.72722222222222,242.03277777777777,38.43833333333334,8.623010361552028,2.525,95.59722222222221,272.49666666666667,44.12722222222222,7.755270963604296,3.2550000000000003,0.27999999999999997
IND,151.25714285714287,201.96964285714284,40.15535714285714,6.51624787414966,2.866071428571429,116.39642857142857,251.86071428571427,42.79464285714286,8.560830627705627,1.6446428571428573,0.425
JAX,113.91203703703702,259.05648148148146,45.43981481481482,7.891900018705575,2.737037037037037,118.08148148148149,264.99907407407403,38.84259259259259,9.756416813639037,2.0574074074074074,-0.6787037037037037
KC,94.2488888888889,344.84666666666664,37.58888888888889,9.627280904280903,2.2111111111111112,133.63111111111112,260.1022222222222,39.11555555555556,7.351312169312171,1.182222222222222,0.7844444444444445
LA,105.3121212121212,268.8590909090909,37.82575757575758,7.737203768453769,2.590151515151515,98.60681818181817,230.90530303030306,39.12196969696969,8.012606042946953,1.8272727272727274,-0.14090909090909093
LAC,92.88179413179414,291.05627705627705,39.6542809042809,8.173431785733372,1.956228956228956,129.83778258778258,209.31926406926405,40.054713804713806,7.441352441650061,2.5098605098605096,-0.8427128427128426
MIA,56.083333333333336,185.94,44.001666666666665,7.7033148148148145,1.2933333333333334,164.79666666666668,268.165,39.901666666666664,10.089685185185184,4.36,-1.9116666666666666
MIN,162.21374458874456,192.8890692640693,40.72853535353535,9.5753071063136,3.102994227994228,91.39303751803752,232.72366522366522,38.80284992784993,8.488612528344671,1.6170634920634919,0.7166305916305916
NE,95.54256854256855,291.7985209235209,42.14357864357864,8.633360819075104,3.4715007215007216,69.47258297258297,176.86507936507937,37.97023809523809,9.06450038057181,1.4888167388167386,1.5344516594516595
NO,112.50353535353536,273.65909090909093,42.528956228956226,7.650266858095141,3.6823232323232324,119.67609427609428,239.11195286195286,37.78114478114478,8.145376382876384,1.6404040404040403,0.28417508417508414
NYG,111.57650793650794,240.89333333333335,42.380634920634925,8.536950491307636,2.303174603174603,126.40349206349208,275.9911111111111,38.861587301587306,7.693626102292768,2.5136507936507937,-1.347936507936508
